title,context,question,answer,,,,
Pain Management Opioid Taper Decision Tool,"The Opioid Taper Decision Tool is designed to assist Primary Care providers in determining if an opioid taper is necessary for a specific patient, in performing the taper, and in providing follow-up and support during the taper.",What is the purpose of Opioid Taper Decision Tool?,"assist Primary Care providers in determining if an opioid taper is necessary for a specific patient, in performing the taper, and in providing follow-up and support during the taper",,,,
Pain Management Opioid Taper Decision Tool,"Opioids are not first-line or routine therapy for chronic pain. Establish treatment goals before starting opioid therapy and a plan if therapy is discontinued. Only continue opioid if there is clinically meaningful improvement in pain and function. Discuss risks, benefits and responsibilities for managing therapy before starting and during treatment.",What should be done before starting opioid therapy?,Establish treatment goals,,,,
Pain Management Opioid Taper Decision Tool,"Opioids are not first-line or routine therapy for chronic pain. Establish treatment goals before starting opioid therapy and a plan if therapy is discontinued. Only continue opioid if there is clinically meaningful improvement in pain and function. Discuss risks, benefits and responsibilities for managing therapy before starting and during treatment.",What should be done if an opioid thrapy is discontinued?,plan,,,,
Pain Management Opioid Taper Decision Tool,"Opioids are not first-line or routine therapy for chronic pain. Establish treatment goals before starting opioid therapy and a plan if therapy is discontinued. Only continue opioid if there is clinically meaningful improvement in pain and function. Discuss risks, benefits and responsibilities for managing therapy before starting and during treatment.",When to continue opioid therapy?,if there is clinically meaningful improvement in pain and function,,,,
Pain Management Opioid Taper Decision Tool,"Opioids are not first-line or routine therapy for chronic pain. Establish treatment goals before starting opioid therapy and a plan if therapy is discontinued. Only continue opioid if there is clinically meaningful improvement in pain and function. Discuss risks, benefits and responsibilities for managing therapy before starting and during treatment.",What to discuss before starting the treatment?,"risks, benefits and responsibilities for managing therapy",,,,
Pain Management Opioid Taper Decision Tool,"Opioids are not first-line or routine therapy for chronic pain. Establish treatment goals before starting opioid therapy and a plan if therapy is discontinued. Only continue opioid if there is clinically meaningful improvement in pain and function. Discuss risks, benefits and responsibilities for managing therapy before starting and during treatment.",What to discuss during the treatment?,"risks, benefits and responsibilities for managing therapy",,,,
Pain Management Opioid Taper Decision Tool,"Opioids are not first-line or routine therapy for chronic pain. Establish treatment goals before starting opioid therapy and a plan if therapy is discontinued. Only continue opioid if there is clinically meaningful improvement in pain and function. Discuss risks, benefits and responsibilities for managing therapy before starting and during treatment.",What is not first-line or routine therapy for chronic pain management?,Opioids,,,,
Pain Management Opioid Taper Decision Tool,"Use immediate-release (IR) opioids when starting therapy. Prescribe the lowest effective dose. When using opioids for acute pain, provide no more than needed for the condition. Follow up and review benefits and risks before starting and during therapy. If benefits do not outweigh harms, consider tapering opioids to lower doses or taper and discontinue.",What kind of opioids to use when starting therapy?,immediate-release,,,,
Pain Management Opioid Taper Decision Tool,"Use immediate-release (IR) opioids when starting therapy. Prescribe the lowest effective dose. When using opioids for acute pain, provide no more than needed for the condition. Follow up and review benefits and risks before starting and during therapy. If benefits do not outweigh harms, consider tapering opioids to lower doses or taper and discontinue.",Should you prescribe the highest or lowest effective dose when starting therapy?,lowest,,,,
Pain Management Opioid Taper Decision Tool,"Use immediate-release (IR) opioids when starting therapy. Prescribe the lowest effective dose. When using opioids for acute pain, provide no more than needed for the condition. Follow up and review benefits and risks before starting and during therapy. If benefits do not outweigh harms, consider tapering opioids to lower doses or taper and discontinue.",What to follow up or review before starting opioid therapy?,benefits and risks,,,,
Pain Management Opioid Taper Decision Tool,"Use immediate-release (IR) opioids when starting therapy. Prescribe the lowest effective dose. When using opioids for acute pain, provide no more than needed for the condition. Follow up and review benefits and risks before starting and during therapy. If benefits do not outweigh harms, consider tapering opioids to lower doses or taper and discontinue.",What to follow up or review during opioid therapy?,benefits and risks,,,,
Pain Management Opioid Taper Decision Tool,"Use immediate-release (IR) opioids when starting therapy. Prescribe the lowest effective dose. When using opioids for acute pain, provide no more than needed for the condition. Follow up and review benefits and risks before starting and during therapy. If benefits do not outweigh harms, consider tapering opioids to lower doses or taper and discontinue.",When to consider tapering opioids to lower doses?,If benefits do not outweigh harms,,,,
Pain Management Opioid Taper Decision Tool,"Use immediate-release (IR) opioids when starting therapy. Prescribe the lowest effective dose. When using opioids for acute pain, provide no more than needed for the condition. Follow up and review benefits and risks before starting and during therapy. If benefits do not outweigh harms, consider tapering opioids to lower doses or taper and discontinue.",When to consider tapering opioids to taper and discontinue?,If benefits do not outweigh harms,,,,
Pain Management Opioid Taper Decision Tool,"Offer risk mitigation strategies, including naloxone for patients at risk for overdose.  Review PDMP (Prescription Drug Monitoring Program) data at least every 3 months and perform UDT (Urine Drug Testing) at least annually. Avoid prescribing opioid and benzodiazepines concurrently when possible. Clinicians should offer or arrange MAT (Medication-Assisted Treatment) for patients with OUD (Opioid Use Disorder).","For patients at risk for overdose, what should be done?","Offer risk mitigation strategies, including naloxone",,,,
Pain Management Opioid Taper Decision Tool,"Offer risk mitigation strategies, including naloxone for patients at risk for overdose.  Review PDMP (Prescription Drug Monitoring Program) data at least every 3 months and perform UDT (Urine Drug Testing) at least annually. Avoid prescribing opioid and benzodiazepines concurrently when possible. Clinicians should offer or arrange MAT (Medication-Assisted Treatment) for patients with OUD (Opioid Use Disorder).",How often the PDMP data need to be reviewed?,at least every 3 months,,,,
Pain Management Opioid Taper Decision Tool,"Offer risk mitigation strategies, including naloxone for patients at risk for overdose.  Review PDMP (Prescription Drug Monitoring Program) data at least every 3 months and perform UDT (Urine Drug Testing) at least annually. Avoid prescribing opioid and benzodiazepines concurrently when possible. Clinicians should offer or arrange MAT (Medication-Assisted Treatment) for patients with OUD (Opioid Use Disorder).",How often the UDT needs to be performed?,at least annually,,,,
Pain Management Opioid Taper Decision Tool,"Offer risk mitigation strategies, including naloxone for patients at risk for overdose.  Review PDMP (Prescription Drug Monitoring Program) data at least every 3 months and perform UDT (Urine Drug Testing) at least annually. Avoid prescribing opioid and benzodiazepines concurrently when possible. Clinicians should offer or arrange MAT (Medication-Assisted Treatment) for patients with OUD (Opioid Use Disorder).",How often the prescription drug monitoring program data need to be reviewed?,at least every 3 months,,,,
Pain Management Opioid Taper Decision Tool,"Offer risk mitigation strategies, including naloxone for patients at risk for overdose.  Review PDMP (Prescription Drug Monitoring Program) data at least every 3 months and perform UDT (Urine Drug Testing) at least annually. Avoid prescribing opioid and benzodiazepines concurrently when possible. Clinicians should offer or arrange MAT (Medication-Assisted Treatment) for patients with OUD (Opioid Use Disorder).",How often the urine drug testing needs to be performed?,at least annually,,,,
Pain Management Opioid Taper Decision Tool,"Offer risk mitigation strategies, including naloxone for patients at risk for overdose.  Review PDMP (Prescription Drug Monitoring Program) data at least every 3 months and perform UDT (Urine Drug Testing) at least annually. Avoid prescribing opioid and benzodiazepines concurrently when possible. Clinicians should offer or arrange MAT (Medication-Assisted Treatment) for patients with OUD (Opioid Use Disorder).","For patients at risk for overdose, how to address the harms of opioid use?","Offer risk mitigation strategies, including naloxone",,,,
Pain Management Opioid Taper Decision Tool,"Offer risk mitigation strategies, including naloxone for patients at risk for overdose.  Review PDMP (Prescription Drug Monitoring Program) data at least every 3 months and perform UDT (Urine Drug Testing) at least annually. Avoid prescribing opioid and benzodiazepines concurrently when possible. Clinicians should offer or arrange MAT (Medication-Assisted Treatment) for patients with OUD (Opioid Use Disorder).",What should not be prescribed concurrently when possible?,opioid and benzodiazepines,,,,
Pain Management Opioid Taper Decision Tool,"Offer risk mitigation strategies, including naloxone for patients at risk for overdose.  Review PDMP (Prescription Drug Monitoring Program) data at least every 3 months and perform UDT (Urine Drug Testing) at least annually. Avoid prescribing opioid and benzodiazepines concurrently when possible. Clinicians should offer or arrange MAT (Medication-Assisted Treatment) for patients with OUD (Opioid Use Disorder).",What should be offered for patients with OUD?,MAT (Medication-Assisted Treatment),,,,
Pain Management Opioid Taper Decision Tool,"Offer risk mitigation strategies, including naloxone for patients at risk for overdose.  Review PDMP (Prescription Drug Monitoring Program) data at least every 3 months and perform UDT (Urine Drug Testing) at least annually. Avoid prescribing opioid and benzodiazepines concurrently when possible. Clinicians should offer or arrange MAT (Medication-Assisted Treatment) for patients with OUD (Opioid Use Disorder).",What should be arranged for patients with OUD?,MAT (Medication-Assisted Treatment),,,,
Pain Management Opioid Taper Decision Tool,"Offer risk mitigation strategies, including naloxone for patients at risk for overdose.  Review PDMP (Prescription Drug Monitoring Program) data at least every 3 months and perform UDT (Urine Drug Testing) at least annually. Avoid prescribing opioid and benzodiazepines concurrently when possible. Clinicians should offer or arrange MAT (Medication-Assisted Treatment) for patients with OUD (Opioid Use Disorder).",What should be offered for patients with opioid use disorder?,MAT (Medication-Assisted Treatment),,,,
Pain Management Opioid Taper Decision Tool,"Offer risk mitigation strategies, including naloxone for patients at risk for overdose.  Review PDMP (Prescription Drug Monitoring Program) data at least every 3 months and perform UDT (Urine Drug Testing) at least annually. Avoid prescribing opioid and benzodiazepines concurrently when possible. Clinicians should offer or arrange MAT (Medication-Assisted Treatment) for patients with OUD (Opioid Use Disorder).",Who should be offered MAT?,patients with OUD (Opioid Use Disorder),,,,
Pain Management Opioid Taper Decision Tool,"Offer risk mitigation strategies, including naloxone for patients at risk for overdose.  Review PDMP (Prescription Drug Monitoring Program) data at least every 3 months and perform UDT (Urine Drug Testing) at least annually. Avoid prescribing opioid and benzodiazepines concurrently when possible. Clinicians should offer or arrange MAT (Medication-Assisted Treatment) for patients with OUD (Opioid Use Disorder).",Who should be offered medication-assisted treatment?,patients with OUD (Opioid Use Disorder),,,,
Pain Management Opioid Taper Decision Tool,"Opioids are associated with many risks and it may be determined that they are not indicated for pain management for a particular Veteran. Re-evaluate the risks and benefits of continuing opioid therapy when there is no pain reduction, no improvement in function or patient requests to discontinue therapy, severe unmanageable adverse effects, dosage indicates high risk of adverse events, concerns related to an increased risk of SUD (Substance use disorder) (e.g., behaviors, age < 30, family history, personal history of SUD), an overdose event involving opioids, non-adherence to the treatment plan or unsafe behaviors. Examples of severe unmanageable adverse effects are drowsiness, constipation, and cognitive impairment. Examples of dosage that indicate high risk of adverse events are doses of 90 MEDD (Morphine equivalent daily dose) and higher. Examples of unsafe behaviors are early refills, lost/stolen prescription, buying or borrowing opioids, failure to obtain or aberrant UDT. ",When to re-evaluate the risks and benefits of continuing opioid therapy?,"no pain reduction, no improvement in function or patient requests to discontinue therapy, severe unmanageable adverse effects, dosage indicates high risk of adverse events, concerns related to an increased risk of SUD (Substance use disorder) (e.g., behaviors, age < 30, family history, personal history of SUD), an overdose event involving opioids, non-adherence to the treatment plan or unsafe behaviors",,,,
