title,context,question,answer
Recommendations,"We recommend against the concurrent use of benzodiazepines and opioids. Note: For patients currently on long-term opioid therapy and benzodiazepines, consider tapering one or both when risks exceed benefits and obtaining specialty consultation as appropriate. We recommend against long-term opioid therapy for patients less than 30 years of age secondary to higher risk of opioid use disorder and overdose. For patients less than 30 years of age currently on long-term opioid therapy, we recommend close monitoring and consideration for tapering when risks exceed benefits.",What to consider for patients currently on long-term opioid therapy and benzodiazepines?,consider tapering one or both when risks exceed benefits and obtaining specialty consultation as appropriate
Pain Management Opioid Taper Decision Tool,"Use a shared decision-making approach to discuss options for OUD treatment. Medication-Assisted Therapy (MAT) is the first-line treatment for OUD. The preferred OUD treatment is Opioid Agonist Therapy (OAT). Opioid agonist treatment involves taking opioid agonist medications such as buprenorphine/naloxone (Suboxone) or methadone. Methadone must be provided through a federally regulated opioid treatment program for OUD therapy. The alternative OUD treatment is extended-release (ER) injectable naltrexone (Vivitrol). MAT can be provided in a variety of treatment settings including residential SUD treatment, intensive outpatient SUD treatment, regular SUD specialty care clinic, primary care or general mental health clinic, or federally regulated opioid treatment program. Moral injury is an act of transgression that leads to serious inner conflict typically brought on by betrayal, disproportionate violence, incidents involving civilians, within-rank violence. For moral injury, treatment via psychologists or chaplains is available. Central sensitization (e .g., fibromyalgia, chronic headaches, and likely many other types of complex chronic pain). Some examples of medical complications are lung disease, hepatic disease, renal disease, or fall risk. Sleep apnea is a sleep disorder.",What does opioid agonist treatment involve?,taking opioid agonist medications
Recommendations,"We recommend alternatives to opioids for mild-to-moderate acute pain. We suggest use of multimodal pain care including non-opioid medications as indicated when opioids are used for acute pain. If take-home opioids are prescribed, we recommend that immediate-release opioids are used at the lowest effective dose with opioid therapy reassessment no later than 3-5 days to determine if adjustments or continuing opioid therapy is indicated. Note: Patient education about opioid risks and alternatives to opioid therapy should be offered.","If take-home opioids are prescribed, why is it recommended to have opioid therapy reassessment no later than 3-5 days?",to determine if adjustments or continuing opioid therapy is indicated
Pain Management Opioid Taper Decision Tool,"When a decision is made to taper, special attention must be given to ensure that the Veteran does not feel abandoned. Prior to any changes being made in opioid prescribing, a discussion should occur between the Veteran, family members/caregivers, and the provider either during a face-to-face appointment or on the telephone. The strategies that will help in the transition are discussion, asking about goals, educating the veteran. Discussion includes listening to the Veteran’s story, letting the Veteran know that you believe that their pain is real, using Motivational Interviewing (MI) techniques to acknowledge the Veteran’s fears about tapering. Include family members or other supporters in the discussion. Asking about goals includes drawing out their goals for life, having the Veteran fill out the PHI, asking how we can support them during the taper. The drawn-out life goals should not be just being pain-free. PHI is the Personal Health Inventory.  ",What should be done prior to any changes being made in opioid prescribing?,"a discussion should occur between the Veteran, family members/caregivers, and the provider either during a face-to-face appointment or on the telephone"
Opioid Epidemic,"From 2000 through 2010, the proportion of pain visits during which opioid and non-opioid pharmacologic therapies were prescribed increased from 11.3% to 19.6% and from 26% to 29%, respectively. In 2012, for every 100 persons in the United States (U.S.), 82.5 opioid prescriptions and 37.6 benzodiazepine prescriptions were written by healthcare providers. In the emergency department, at least 17% of discharges included prescriptions for opioids.","From 2000 through 2010, what was the increment of the proportion of pain visits during which non-opioid pharmacologic therapies were prescribed?",from 26% to 29%
Pain Management Opioid Taper Decision Tool,"Follow-up for tapering should be done with PACT Team. Follow-up for tapering is recommended to be a team function with various team members taking on roles in which they have demonstrated specific competencies. Mental health practitioners may need to be included in the follow-up plan. During the slowest taper, follow up with the Veteran 1 to 4 weeks after starting taper then monthly before each reduction. During the slower taper, follow up with the Veteran 1 to 4 weeks after starting taper then monthly before each reduction. During the faster taper, follow up with the Veteran weekly before each dose reduction. During the rapid taper, follow up with the Veteran daily before each dose reduction or if available offer inpatient admission. The follow-up during the slowest, slower, and faster tapering can be done in the clinic and/or over telephone. The follow-up during the rapid tapering can be done in the hospital, clinic or over telephone. Providers will need to determine whether a telephone or in-clinic appointment is appropriate based on the risk category of the Veteran. A Veteran with high risk due to a medical condition may have decompensation during the taper and may require a clinic visit over telephone follow-up. If there are issues with the Veteran obtaining outside prescriptions or they are displaying other aberrant behaviors during the taper, providing follow-up in a clinic visit may be more optimal than a telephone visit. Follow up on patient function, pain intensity, sleep, physical activity, personal goals, and stress level.",Where to follow up with the Veteran during the slowest taper?,in the clinic and/or over telephone
Pain Management Opioid Taper Decision Tool,"Rapid Taper is done over days. Rapid tapers can cause withdrawal effects and patients should be treated with adjunctive medications to minimize these effects; may need to consider admitting the patient for inpatient care. If patients are prescribed both long-acting and short-acting opioids, the decision about which formulation to be tapered first should be individualized based on medical history, mental health diagnoses, and patient preference. Data shows that overdose risk is greater with long-acting preparations. In rapid taper, reduce opioid by 20 to 50% of first dose if needed, then reduce by 10 to 20% every day. An example of the rapid taper is given below. During the first day in the rapid taper, 33% reduction of morphine SR 90 mg Q8h = 270 MEDD consists of 60 mg SR (15 mg x 4) Q8h. The subsequent daily dosage for the rapid taper is 45 mg SR (15 mg x 3) Q8h for day 2, 30 mg SR (15 mg x 2) Q8h for day 3, 15 mg SR Q8h for day 4, 15 mg SR Q12h for day 5-7, 15 mg SR QHS for day 8-11. Stop rapid tapering after day 11 and may consider morphine IR 15 mg ½ tablet (7.5 mg) twice daily.","When reducing 33% of morphine SR 90 mg Q8h = 270 MEDD on day 1, what dose should be taken on day seven of the rapid opioid tapering?",15 mg SR Q12h
Pain Management Opioid Taper Decision Tool,"The treatment options for anxiety, dysphoria, lacrimation, and rhinorrhea are hydroxyzine 25 to 50 mg three times a day as needed, diphenhydramine 25 mg every 6 hours as needed. Avoid diphenhydramine for Veterans older than 65 years. The treatment options for myalgias are NSAIDs (e.g., naproxen 375 to 500 mg twice daily or ibuprofen 400 to 600 mg four times daily), acetaminophen 650 mg every 6 hours as needed, topical medications like menthol/methylsalicylate cream, lidocaine cream/ointment. For NSAIDs, be cautious for patients with risk of GI bleed, renal compromise, cardiac disease. The treatment option for sleep disturbance is Trazodone 25 to 300 mg orally at bedtime.",What is the treatment option for sleep disturbance?,Trazodone 25 to 300 mg orally at bedtime
Opioid Epidemic,"Concurrent with the increase in prescription opioid use, the rate of heroin overdose deaths increased  nearly four-fold between 2000 and 2013. According to a survey of patients entering SUD treatment for  heroin use, the prescription opioid epidemic has resulted in a marked shift in how and which opioids are  abused. In the 1960s, 80% of people entering treatment for heroin use started using heroin as their first opioid, while in the 2000s, 75% of people entering treatment for heroin use started using prescription opioids as their first opioid. This increase in the use of opioids, as well as associated morbidity, mortality, and other adverse outcomes, has called attention to the need for a paradigm shift in pain and in the way it is treated. Consult the VA/DoD Clinical Practice Guideline for the Management of Substance Use Disorders (VA/DoD SUD CPG) for further information. ",What percentage of people entering SUD treatment for heroin use started using heroin as their first opioid in the 1960s?,80%
Module B: Treatment with Opioid Therapy,"Necessary risk mitigation strategies are OEND, UDT, PDMP, face-to-face follow-up with frequency determined by risk. Indications for tapering and discontinuation are as follows: risks of OT outweigh benefits, patient preference, diversion. Risks of opioid therapy outweigh benefits when there is lack of clinically meaningful improvement in function, concomitant use of medications that increase risk of overdose, co-occurring medical or mental health conditions that increase risk, concerns about OUD or other SUD, patient con-compliance with opioid safety measures and opioid risk mitigation strategies, patient non-participation in a comprehensive pain care plan, prescribed dose higher than the maximal recommended dose, pain condition not effectively treated with opioids (e.g., back pain with normal MRI; fibromyalgia), medical or mental health comorbidities that increase risk, improvement in the underlying pain condition being treated, unmanageable side effects. Factors that may indicate need for more frequent follow-up are non-adherence to comprehensive pain care plan, unexpected UDT and PDMP results, non-adherence to opioid prescription, higher risk medication characteristics, patients with mental health, medical, or SUD comorbidities that increase risk for adverse outcomes. A factor that can help identify non-adherence to a comprehensive pain care plan can be attendance at appointments. Examples of non-adherence to opioid prescription include using more than prescribed and/or running out late. Higher risk medication can be high-dose opioids, combination of opioids and benzodiazepines. MEDD refers to morphine equivalent daily dose; MRI refers to magnetic resonance imaging; OEND refers to Overdose Education and Naloxone Distribution.",Which factor can help identify non-adherence to a comprehensive pain care plan?,attendance at appointments
