Question,Question Type,QID,title_old,Answer,TITLE
What is the purpose of Opioid Taper Decision Tool?,What,0,Pain Management Opioid Taper Decision Tool,"assist Primary Care providers in determining if an opioid taper is necessary for a specific patient, in performing the taper, and in providing follow-up and support during the taper",Specifications
What should be done before starting opioid therapy?,What,1,Pain Management Opioid Taper Decision Tool,Establish treatment goals,Specifications
What should be done if an opioid thrapy is discontinued?,What,2,Pain Management Opioid Taper Decision Tool,plan,Specifications
When to continue opioid therapy?,When,3,Pain Management Opioid Taper Decision Tool,if there is clinically meaningful improvement in pain and function,Specifications
What to discuss before starting the treatment?,What,4,Pain Management Opioid Taper Decision Tool,"risks, benefits and responsibilities for managing therapy",Specifications
What to discuss during the treatment?,What,5,Pain Management Opioid Taper Decision Tool,"risks, benefits and responsibilities for managing therapy",Specifications
What is not first-line or routine therapy for chronic pain management?,What,6,Pain Management Opioid Taper Decision Tool,Opioids,Specifications
What kind of opioids to use when starting therapy?,What,7,Pain Management Opioid Taper Decision Tool,immediate-release,Specifications
What to follow up or review before starting opioid therapy?,What,9,Pain Management Opioid Taper Decision Tool,benefits and risks,Specifications
What to follow up or review during opioid therapy?,What,10,Pain Management Opioid Taper Decision Tool,benefits and risks,Specifications
When to consider tapering opioids to lower doses?,When,11,Pain Management Opioid Taper Decision Tool,If benefits do not outweigh harms,Specifications
When to consider tapering opioids to taper and discontinue?,When,12,Pain Management Opioid Taper Decision Tool,If benefits do not outweigh harms,Specifications
How often the PDMP data need to be reviewed?,How,14,Pain Management Opioid Taper Decision Tool,at least every 3 months,Specifications
How often the UDT needs to be performed?,How,15,Pain Management Opioid Taper Decision Tool,at least annually,Specifications
How often the prescription drug monitoring program data need to be reviewed?,How,16,Pain Management Opioid Taper Decision Tool,at least every 3 months,Specifications
How often the urine drug testing needs to be performed?,How,17,Pain Management Opioid Taper Decision Tool,at least annually,Specifications
What should not be prescribed concurrently when possible?,What,19,Pain Management Opioid Taper Decision Tool,opioid and benzodiazepines,Specifications
What should be offered for patients with OUD?,What,20,Pain Management Opioid Taper Decision Tool,MAT (Medication-Assisted Treatment),Specifications
What should be arranged for patients with OUD?,What,21,Pain Management Opioid Taper Decision Tool,MAT (Medication-Assisted Treatment),Specifications
What should be offered for patients with opioid use disorder?,What,22,Pain Management Opioid Taper Decision Tool,MAT (Medication-Assisted Treatment),Specifications
Who should be offered MAT?,Who,23,Pain Management Opioid Taper Decision Tool,patients with OUD (Opioid Use Disorder),Specifications
Who should be offered medication-assisted treatment?,Who,24,Pain Management Opioid Taper Decision Tool,patients with OUD (Opioid Use Disorder),Specifications
When to re-evaluate the risks and benefits of continuing opioid therapy?,When,25,Pain Management Opioid Taper Decision Tool,"no pain reduction, no improvement in function or patient requests to discontinue therapy, severe unmanageable adverse effects, dosage indicates high risk of adverse events, concerns related to an increased risk of SUD (Substance use disorder) (e.g., behaviors, age < 30, family history, personal history of SUD), an overdose event involving opioids, non-adherence to the treatment plan or unsafe behaviors",Specifications
What does it mean by severe unmanageable adverse effects?,What,26,Pain Management Opioid Taper Decision Tool,"drowsiness, constipation, and cognitive impairment",Specifications
How much dosage indicates high risk of adverse events?,How,27,Pain Management Opioid Taper Decision Tool,doses of 90 MEDD (Morphine equivalent daily dose) and higher,Specifications
What to do when there is no pain reduction?,What,28,Pain Management Opioid Taper Decision Tool,Re-evaluate the risks and benefits of continuing opioid therapy,Specifications
What to do when there is no improvement in function?,What,29,Pain Management Opioid Taper Decision Tool,Re-evaluate the risks and benefits of continuing opioid therapy,Specifications
What to do when patient requests to discontinue therapy?,What,30,Pain Management Opioid Taper Decision Tool,Re-evaluate the risks and benefits of continuing opioid therapy,Specifications
What to do when there are severe unmanageable adverse effects?,What,31,Pain Management Opioid Taper Decision Tool,Re-evaluate the risks and benefits of continuing opioid therapy,Specifications
What are some examples of severe unmanageable adverse effects?,What,32,Pain Management Opioid Taper Decision Tool,"drowsiness, constipation, and cognitive impairment",Specifications
What to do when dosage indicates high risk of adverse events?,What,33,Pain Management Opioid Taper Decision Tool,Re-evaluate the risks and benefits of continuing opioid therapy,Specifications
What dosage indicates high risk of adverse events?,What,34,Pain Management Opioid Taper Decision Tool,doses of 90 MEDD (Morphine equivalent daily dose) and higher,Specifications
What to do when there is non-adherence to the treatment plan or unsafe behaviors?,What,35,Pain Management Opioid Taper Decision Tool,Re-evaluate the risks and benefits of continuing opioid therapy,Specifications
What are examples of non-adherence to the treatment plan or unsafe behaviors?,What,36,Pain Management Opioid Taper Decision Tool,"early refills, lost/stolen prescription, buying or borrowing opioids, failure to obtain or aberrant UDT",Specifications
What to do when there are concerns related to an increased risk of SUD?,What,37,Pain Management Opioid Taper Decision Tool,Re-evaluate the risks and benefits of continuing opioid therapy,Specifications
What to do when there are concerns related to an increased risk of substance use disorder?,What,38,Pain Management Opioid Taper Decision Tool,Re-evaluate the risks and benefits of continuing opioid therapy,Specifications
Which factors can raise concerns related to an increased risk of substance use disorder?,Which,39,Pain Management Opioid Taper Decision Tool,"behaviors, age < 30, family history, personal history of SUD",Specifications
Which behaviors can be characterized as unsafe?,Which,40,Pain Management Opioid Taper Decision Tool,"early refills, lost/stolen prescription, buying or borrowing opioids, failure to obtain or aberrant UDT",Specifications
What to do when there is an overdose event involving opioids?,What,41,Pain Management Opioid Taper Decision Tool,Re-evaluate the risks and benefits of continuing opioid therapy,Specifications
Which medical comorbidities can increase risk during opioid therapy?,Which,42,Pain Management Opioid Taper Decision Tool,"lung disease, sleep apnea, liver disease, renal disease, fall risk, advanced age",Specifications
What to do when there is concomitant use of medications that increase risk?,What,43,Pain Management Opioid Taper Decision Tool,Consider tapering opioids,Specifications
Which mental health comorbidities can worsen with opioid therapy?,Which,44,Pain Management Opioid Taper Decision Tool,"PTSD, depression, anxiety",Specifications
What includes personal history of SUD?,What,46,Pain Management Opioid Taper Decision Tool,"alcohol use disorder (AUD), opioid use disorder (OUD), and/or a use disorder involving other substances",Specifications
"What is an example of medication that can increase risk during opioid therapy, if used concomitantly?",What,47,Pain Management Opioid Taper Decision Tool,benzodiazepines,Specifications
What to monitor for when considering an opioid taper?,What,48,Pain Management Opioid Taper Decision Tool,conditions that may warrant evaluation,Specifications
What to do if a patient is taking more than their prescribed dosage of opioids?,What,49,Pain Management Opioid Taper Decision Tool,"before deciding to change therapy, look for “red flags”. The red flags are progressive numbness or weakness, progressive changes in bowel or bladder function, unexplained weight loss, history of internal malignancy that has not been re-staged, signs of/risk factors for infection.",Specifications
What to do if a patient is showing signs of aberrant behavior?,What,50,Pain Management Opioid Taper Decision Tool,"before deciding to change therapy, look for “red flags”. The red flags are progressive numbness or weakness, progressive changes in bowel or bladder function, unexplained weight loss, history of internal malignancy that has not been re-staged, signs of/risk factors for infection.",Specifications
What are the red flags in a patient who is taking more than their prescribed dose or showing signs of aberrant behavior?,What,51,Pain Management Opioid Taper Decision Tool,"progressive numbness or weakness, progressive changes in bowel or bladder function, unexplained weight loss, history of internal malignancy that has not been re-staged, signs of/risk factors for infection",Specifications
