Question,Question Type,QID
What is the purpose of Opioid Taper Decision Tool?,What,0
What should be done before starting opioid therapy?,What,1
What should be done if an opioid thrapy is discontinued?,What,2
When to continue opioid therapy?,When,3
What to discuss before starting the treatment?,What,4
What to discuss during the treatment?,What,5
What is not first-line or routine therapy for chronic pain management?,What,6
What kind of opioids to use when starting therapy?,What,7
Should you prescribe the highest or lowest effective dose when starting therapy?,When,8
What to follow up or review before starting opioid therapy?,What,9
What to follow up or review during opioid therapy?,What,10
When to consider tapering opioids to lower doses?,When,11
When to consider tapering opioids to taper and discontinue?,When,12
"For patients at risk for overdose, what should be done?",What,13
How often the PDMP data need to be reviewed?,How,14
How often the UDT needs to be performed?,How,15
How often the prescription drug monitoring program data need to be reviewed?,How,16
How often the urine drug testing needs to be performed?,How,17
"For patients at risk for overdose, how to address the harms of opioid use?",How,18
What should not be prescribed concurrently when possible?,What,19
What should be offered for patients with OUD?,What,20
What should be arranged for patients with OUD?,What,21
What should be offered for patients with opioid use disorder?,What,22
Who should be offered MAT?,Who,23
Who should be offered medication-assisted treatment?,Who,24
When to re-evaluate the risks and benefits of continuing opioid therapy?,When,25
What does it mean by severe unmanageable adverse effects?,What,26
How much dosage indicates high risk of adverse events?,How,27
What to do when there is no pain reduction?,What,28
What to do when there is no improvement in function?,What,29
What to do when patient requests to discontinue therapy?,What,30
What to do when there are severe unmanageable adverse effects?,What,31
What are some examples of severe unmanageable adverse effects?,What,32
What to do when dosage indicates high risk of adverse events?,What,33
What dosage indicates high risk of adverse events?,What,34
What to do when there is non-adherence to the treatment plan or unsafe behaviors?,What,35
What are examples of non-adherence to the treatment plan or unsafe behaviors?,What,36
What to do when there are concerns related to an increased risk of SUD?,What,37
What to do when there are concerns related to an increased risk of substance use disorder?,What,38
Which factors can raise concerns related to an increased risk of substance use disorder?,Which,39
Which behaviors can be characterized as unsafe?,Which,40
What to do when there is an overdose event involving opioids?,What,41
Which medical comorbidities can increase risk during opioid therapy?,Which,42
What to do when there is concomitant use of medications that increase risk?,What,43
Which mental health comorbidities can worsen with opioid therapy?,Which,44
"Prior to any changes in therapy, what should be discussed with the Veteran?",What,45
What includes personal history of SUD?,What,46
"What is an example of medication that can increase risk during opioid therapy, if used concomitantly?",What,47
What to monitor for when considering an opioid taper?,What,48
What to do if a patient is taking more than their prescribed dosage of opioids?,What,49
What to do if a patient is showing signs of aberrant behavior?,What,50
What are the red flags in a patient who is taking more than their prescribed dose or showing signs of aberrant behavior?,What,51
What warrants an urgent evaluation during opioid therapy?,What,52
What is needed when there is progressive numbness or weakness?,What,53
What is needed when there are progressive changes in bowel or bladder function?,What,54
What is needed when there is unexplained weight loss?,What,55
What is needed when there is a history of internal malignancy that has not been re-staged?,What,56
What is needed when there are signs of/risk factors for infection?,What,57
What are the signs of/risk factors for infection?,What,58
What to ensure before initiating an opioid taper?,What,59
Which conditions can complicate pain management?,Which,60
What are some examples of mental health disorders?,What,61
"What to do if the veteran is suicidal, have high suicide risk or actively suicidal?",What,62
What to do if the veteran is suicidal?,What,63
What to do if suicide risk is high in patients?,What,64
What to do if the veteran is actively suicidal?,What,65
What is the estimated lifetime prevalence for OUD among patients receiving long-term opioid therapy?,What,66
What is the estimation of the lifetime prevalence for mild symptoms of OUD among patients receiving long-term opioid therapy?,What,67
What is the estimation of the lifetime prevalence for moderate symptoms of OUD among patients receiving long-term opioid therapy?,What,68
What is the estimation of the lifetime prevalence for severe symptoms of OUD among patients receiving long-term opioid therapy?,What,69
Who needs to have both pain and OUD addressed?,Who,70
What needs to be addressed for patients with chronic pain who develop OUD from opioid analgesic therapy?,What,71
What may increase the risk of overdose and other adverse events in patients with chronic pain and OUD?,What,72
Tapering the opioid analgesic without providing OUD treatment may increase the risk of what?,What,73
Continuing to prescribe the opioid without providing OUD treatment may increase the risk of what?,What,74
What kind of approach should be used to discuss options for OUD treatment?,What,75
What is the first-line treatment for OUD?,What,76
What is the preferred OUD treatment?,What,77
What does opioid agonist treatment involve?,What,78
What are some examples of opioid agonist medications?,What,79
How to provide methadone for OUD therapy?,How,80
What is the alternative OUD treatment?,What,81
Name the treatment settings in which MAT can be provided.,Definition/Example,82
What is moral injury?,What,83
What can cause moral injury?,What,84
How to treat a moral injury?,How,85
Name a sleep disorder.,Definition/Example,86
How to make sure that the veteran does not feel abandoned when a decision is made to taper?,How,87
When must special attention be given to ensure that the Veteran does not feel abandoned?,When,88
What should be done prior to any changes being made in opioid prescribing?,What,89
"Prior to any changes being made in opioid prescribing, a discussion should occur between whom?",Who,90
"A discussion should occur between the Veteran, family members/caregivers, and the provider prior to what?",What,91
What strategies will help in the transition?,What,92
What is included in the discussion?,What,93
Who to include in the discussion?,Who,94
Which techniques to use to acknowledge the Veteran’s fears about tapering?,Which,95
What are Motivational Interviewing (MI) techniques used for?,What,96
What should not be the drawn-out life goals?,What,97
What is PHI?,What,98
What to use to educate the Veteran?,What,99
What is an example of Bio-Psycho-Social Model?,What,100
What kinds of pain education groups should be offered to Veterans?,What,101
What are some examples of Complementary and Integrative Health (CIH) interventions?,What,102
What is CIH?,What,103
What should the clinicians offer to reduce opioid risk?,What,104
"When formulating an opioid taper plan, what can be the initial goal?",When,105
"If the initial goal is determined to be a dose reduction, what may indicate that complete discontinuation is more suitable?",What,106
Which tapers are often the most tolerable?,Which,107
Which tapers can be completed over several months to years?,Which,108
How long does it take to complete slower tapers?,How,109
"Slower, more gradual tapers can be completed over several months to years based on what?",What,110
"Most commonly, tapering involves dose reduction of how much every 4 weeks?",How,111
Tapering will involve dose reduction of how much?,How,112
In which instances more rapid tapers may be required?,Which,113
Which tapers may be required in certain instances like drug diversion?,Which,114
Which tapers may be required in certain instances like illegal activities?,Which,115
Which tapers may be required in certain instances like situations where the risks of continuing the opioid outweigh the risks of a rapid taper?,Which,116
"Which tapers may be required in certain instances like drug diversion, illegal activities, or situations where the risks of continuing the opioid outweigh the risks of a rapid taper?",Which,117
"When the risks of continuing the opioid outweigh the risks of a rapid taper, which tapers may be required?",When,118
What to document in the Veteran’s medical record?,What,119
What to provide to patients at increased risk of overdose?,What,120
What to prescribe to patients at increased risk of overdose?,What,121
Whom to provide opioid overdose education?,Who,122
Whom to prescribe naloxone?,Who,123
How long does it take to lose tolerance?,How,124
"If the patients under opioid taper pna resume their original dose, they are at risk of what?",What,125
How long does the slowest taper take?,How,126
How much opioid to reduce in the slowest taper?,How,127
For whom should the slowest taper be considered?,Who,128
5% opioid reduction of morphine SR 90 mg Q8h = 270 MEDD during the first month in the slowest taper consists of what?,What,129
Clinicians should continue the slowest taper based on what?,What,130
What can allow the patient time to acquire new skills for management of pain and emotional distress while allowing for neurobiological equilibration?,What,131
How may pauses in the slowest opioid taper help the patient?,How,132
"When reducing 5% of morphine SR 90 mg Q8h = 270 MEDD, what dose should be taken on month two of the slowest opioid tapering?",When,133
"When reducing 5% of morphine SR 90 mg Q8h = 270 MEDD, what dose should be taken on month three of the slowest opioid tapering?",When,134
"When reducing 5% of morphine SR 90 mg Q8h = 270 MEDD, what dose should be taken on month four of the slowest opioid tapering?",When,135
"When reducing 5% of morphine SR 90 mg Q8h = 270 MEDD, what dose should be taken on month five of the slowest opioid tapering?",When,136
"When reducing 5% of morphine SR 90 mg Q8h = 270 MEDD, what dose should be taken on month six of the slowest opioid tapering?",When,137
"When reducing 5% of morphine SR 90 mg Q8h = 270 MEDD, what dose should be taken on month seven of the slowest opioid tapering?",When,138
"When reducing 5% of morphine SR 90 mg Q8h = 270 MEDD, what dose should be taken on month eight of the slowest opioid tapering?",When,139
"When reducing 5% of morphine SR 90 mg Q8h = 270 MEDD, what dose should be taken on month nine of the slowest opioid tapering?",When,140
For how long should the determined rate of the slowest opioid taper be followed?,How,141
How long does the slower taper take?,How,142
How much opioid to reduce in the slower taper?,How,143
Which one is the most common taper?,Which,144
During the first month in the slower taper what does consist of 16% reduction of morphine SR 90 mg Q8h = 270 MEDD?,What,145
"When reducing 16% of morphine SR 90 mg Q8h = 270 MEDD on month 1, what dose should be taken on month two of the slower opioid tapering?",When,146
"When reducing 16% of morphine SR 90 mg Q8h = 270 MEDD on month 1, what dose should be taken on month three of the slower opioid tapering?",When,147
"When reducing 16% of morphine SR 90 mg Q8h = 270 MEDD on month 1, what dose should be taken on month four of the slower opioid tapering?",When,148
"When reducing 16% of morphine SR 90 mg Q8h = 270 MEDD on month 1, what dose should be taken on month five of the slower opioid tapering?",When,149
