Question,Question Type,QID,Answer,Title,EM,F1,Question Words,Answer Words,Question Length,Answer Length
What is recommended when considering initiating or continuing long-term opioid therapy?,What,0,assessing suicide risk,Recommendations,1,1.0,"['What', 'is', 'recommended', 'when', 'considering', 'initiating', 'or', 'continuing', 'long', '-', 'term', 'opioid', 'therapy', '?']","['assessing', 'suicide', 'risk']",14,3
Which strategies may be helpful for those at higher risk of adverse events related to opioid therapy?,Which,1,"checking the PDMP, performing a  UDT, placement in an inpatient setting or monitored environment, and/or providing OEND",Recommendations,1,1.0,"['Which', 'strategies', 'may', 'be', 'helpful', 'for', 'those', 'at', 'higher', 'risk', 'of', 'adverse', 'events', 'related', 'to', 'opioid', 'therapy', '?']","['checking', 'the', 'PDMP', ',', 'performing', 'a', ' ', 'UDT', ',', 'placement', 'in', 'an', 'inpatient', 'setting', 'or', 'monitored', 'environment', ',', 'and/or', 'providing', 'OEND']",18,21
What can be a continuous predictor of adverse outcomes?,What,2,age,Recommendations,1,1.0,"['What', 'can', 'be', 'a', 'continuous', 'predictor', 'of', 'adverse', 'outcomes', '?']",['age'],10,1
Who may disagree with the recommendation to use non-opioid modalities in lieu of LOT to treat their pain?,Who,3,Some patients with SUD,Recommendations,1,1.0,"['Who', 'may', 'disagree', 'with', 'the', 'recommendation', 'to', 'use', 'non', '-', 'opioid', 'modalities', 'in', 'lieu', 'of', 'LOT', 'to', 'treat', 'their', 'pain', '?']","['Some', 'patients', 'with', 'SUD']",21,4
What is a good predictor of overdose death?,What,4,Prescribed opioid dosage,Recommendations,1,1.0,"['What', 'is', 'a', 'good', 'predictor', 'of', 'overdose', 'death', '?']","['Prescribed', 'opioid', 'dosage']",9,3
What is the stance regarding the abuse deterrent formulations for LOT?,What,5,do not recommend for or against,Recommendations,1,1.0,"['What', 'is', 'the', 'stance', 'regarding', 'the', 'abuse', 'deterrent', 'formulations', 'for', 'LOT', '?']","['do', 'not', 'recommend', 'for', 'or', 'against']",12,6
Who are more likely to attempt suicide?,Who,6,Patients with a history of TBI who use chronic short-acting and  long-acting opioids,Background,1,1.0,"['Who', 'are', 'more', 'likely', 'to', 'attempt', 'suicide', '?']","['Patients', 'with', 'a', 'history', 'of', 'TBI', 'who', 'use', 'chronic', 'short', '-', 'acting', 'and', ' ', 'long', '-', 'acting', 'opioids']",8,18
What should providers carefully rule out and avoid?,What,7,potential drug interactions prior to initiating LOT,Background,1,1.0,"['What', 'should', 'providers', 'carefully', 'rule', 'out', 'and', 'avoid', '?']","['potential', 'drug', 'interactions', 'prior', 'to', 'initiating', 'LOT']",9,7
What combinations of drugs are dangerous?,What,8,"i)Opioids with benzodiazepines (compared to patients with no prescription, the odds ratio [OR] and 95% confidence interval [CI] for drug-related death was OR: 14.92, 95% CI: 7.00- 31.77 for patients who filled a prescription for opioids and benzodiazepines; OR: 3.40, 95%  CI: 1.60-7.21 for patients who filled only an opioid prescription, and 7.21, 95% CI: 3.33-15.60 for patients who filled only a benzodiazepine prescription) (see Recommendation 5) [66,67], ii)Fentanyl with CYP3A4 inhibitors, iii) Methadone with drugs that can prolong the QT interval (the heart rate’s corrected time  interval from the start of the Q wave to the end of the T wave) (e.g., CYP450 2B6 inhibitors)",Background,0,0.06060606060606061,"['What', 'combinations', 'of', 'drugs', 'are', 'dangerous', '?']","['i)Opioids', 'with', 'benzodiazepines', '(', 'compared', 'to', 'patients', 'with', 'no', 'prescription', ',', 'the', 'odds', 'ratio', '[', 'OR', ']', 'and', '95', '%', 'confidence', 'interval', '[', 'CI', ']', 'for', 'drug', '-', 'related', 'death', 'was', 'OR', ':', '14.92', ',', '95', '%', 'CI', ':', '7.00-', '31.77', 'for', 'patients', 'who', 'filled', 'a', 'prescription', 'for', 'opioids', 'and', 'benzodiazepines', ';', 'OR', ':', '3.40', ',', '95', '%', ' ', 'CI', ':', '1.60', '-', '7.21', 'for', 'patients', 'who', 'filled', 'only', 'an', 'opioid', 'prescription', ',', 'and', '7.21', ',', '95', '%', 'CI', ':', '3.33', '-', '15.60', 'for', 'patients', 'who', 'filled', 'only', 'a', 'benzodiazepine', 'prescription', ')', '(', 'see', 'Recommendation', '5', ')', '[', '66,67', ']', ',', 'ii)Fentanyl', 'with', 'CYP3A4', 'inhibitors', ',', 'iii', ')', 'Methadone', 'with', 'drugs', 'that', 'can', 'prolong', 'the', 'QT', 'interval', '(', 'the', 'heart', 'rate', '’s', 'corrected', 'time', ' ', 'interval', 'from', 'the', 'start', 'of', 'the', 'Q', 'wave', 'to', 'the', 'end', 'of', 'the', 'T', 'wave', ')', '(', 'e.g.', ',', 'CYP450', '2B6', 'inhibitors', ')']",7,148
What does place patients at elevated risk for opioid overdose?,What,9,"opioids taken PRN (as needed) for chronic cancer pain versus regularly scheduled doses, or simultaneous PRN plus regularly scheduled",Recommendations,1,1.0,"['What', 'does', 'place', 'patients', 'at', 'elevated', 'risk', 'for', 'opioid', 'overdose', '?']","['opioids', 'taken', 'PRN', '(', 'as', 'needed', ')', 'for', 'chronic', 'cancer', 'pain', 'versus', 'regularly', 'scheduled', 'doses', ',', 'or', 'simultaneous', 'PRN', 'plus', 'regularly', 'scheduled']",11,22
